Locationid,Location,LocPropertyType,LocProvince,LocPostal,LocDistrict,LocRegion,RegionName,Market,PopulationRank,FundraisingYear,cy_funds,cy_1_funds,cy_2_funds,change,target,cy_checkins,cy_1_checkins,cy_2_checkins,cy_contacts,cy_1_contacts,cy_2_contacts,cy_images,cy_1_images,cy_2_images,cy_notes,cy_1_notes,cy_2_notes
132319,884,Buy More Supercenter,IN,46176,249,43,Central,Indianapolis,3,2018,31073.93,45975.6699,39742.5534,-0.324122301,0,0,1,2,0,0,1,0,0,1,0,1,1
127605,1321,Buy More Supercenter,NC,27577,299,27,Southeast,Raleigh-Durham,3,2016,38068.5433,34577.25,39729.14,0.10097082,0,2,0,0,1,0,0,0,0,0,2,0,0
128733,2371,Buy More Supercenter,CT,6492,163,17,Northeast,Hartford-New Haven,2,2016,24222.2098,35713.64,39609.16,-0.321765863,0,2,0,0,0,0,0,0,0,0,0,0,0
127339,1079,Buy More Supercenter,FL,32168,94,9,Southeast,Orlando,2,2016,13806.5798,14511.06,39590.68,-0.048547811,0,0,0,0,0,0,0,11,0,0,0,0,0
130775,5305,Buy More,CA,91911,458,57,West,San Diego,3,2016,31936.2299,29675.01,39340.16,0.076199465,0,1,0,0,0,0,0,0,0,0,0,0,0
130526,5023,Buy More Supercenter,CA,91950,458,57,West,San Diego,3,2016,19197.6068,39157.7,39321.14,-0.509736098,0,1,0,0,0,0,0,3,0,0,0,0,0
131388,6333,Member's Buy More,ME,4401,20,Northeast,Northeast,Bangor,1,2017,50386.3598,59445.65,39259.03,-0.152396184,0,18,15,0,0,1,0,38,27,0,8,3,0
127292,1036,Buy More Supercenter,NC,28043,294,4,Southeast,"Greenville, SC",2,2018,12204.6594,13990.32,39195.6132,-0.127635437,0,2,2,0,0,0,0,1,0,0,1,2,0
130526,5023,Buy More Supercenter,CA,91950,458,57,West,San Diego,3,2017,9881.3799,19197.6068,39157.7,-0.485280639,0,2,1,0,1,0,0,1,3,0,2,0,0
181552,3197,Buy More Supercenter,FL,33613,112,9,Southeast,Tampa-St. Petersburg,3,2015,2815.84,4721.2,39114.4994,-0.403575362,0,0,0,0,0,0,0,0,0,0,0,0,0
127335,1075,Buy More Supercenter,TN,37042,149,12,Southeast,Nashville,2,2017,10857.71,23559.89,39103.17,-0.539144283,0,2,0,0,0,2,0,2,0,0,2,0,0
127874,1566,Buy More Supercenter,IN,46526,247,19,Central,Indianapolis,3,2015,9132.71,12458.88,39059.2798,-0.266971831,0,0,0,0,0,0,0,0,0,0,0,0,0
130119,4325,Buy More Supercenter,AZ,85365,365,54,West,San Diego,3,2016,12004.805,16603.14,38917.88,-0.276955745,0,0,0,0,0,0,0,0,0,0,0,0,0
127841,1535,Buy More Supercenter,SD,57106,430,52,West,Sioux Falls-Mitchell,1,2016,18009.2233,30658.97,38890.48,-0.412595293,0,0,0,0,0,0,0,1,0,0,0,0,0
129237,2928,Buy More Supercenter,SC,29445,36,4,Southeast,"Charleston, SC",2,2016,26037.0434,43220.5,38540.25,-0.397576534,0,3,0,0,1,0,0,4,0,0,1,0,0
131389,6334,Member's Buy More,IL,62526,34,North Central,Central,Champaign-Springfield,1,2015,3431.9,4961.4,38406.0294,-0.308279921,0,0,0,0,0,0,0,0,0,0,0,0,0
128856,2529,Buy More Supercenter,VA,23456,289,27,Northeast,Norfolk-Portsmouth,2,2016,22191.37,34172.63,38244.35,-0.35060983,0,4,0,0,0,0,0,2,0,0,4,0,0
128105,1773,Buy More Supercenter,VA,23602,288,27,Northeast,Norfolk-Portsmouth,2,2016,23640.6598,24956.14,38140.28,-0.052711685,0,3,0,0,2,0,0,1,0,0,4,0,0
131451,6405,Member's Buy More,CA,95993,41,Western,West,Sacramento,3,2017,8494.6699,10223.6702,38135.95,-0.169117378,0,1,1,0,0,1,0,1,0,0,1,1,0
127605,1321,Buy More Supercenter,NC,27577,299,27,Southeast,Raleigh-Durham,3,2018,7552.3398,8481.1598,38068.5433,-0.109515682,0,2,2,2,4,1,1,0,1,0,3,1,2
132173,8263,Member's Buy More,OK,74145,6,South Central,Central,Tulsa,2,2018,3686.3297,2895.9898,37692.1465,0.272908385,0,0,2,4,0,2,1,0,0,1,0,2,3
127972,1655,Buy More Supercenter,IN,47933,482,43,Central,Indianapolis,3,2015,7443.78,5779.35,37687.16,0.287996055,0,0,0,0,0,0,0,0,0,0,0,0,0
129565,3367,Buy More Supercenter,SC,29418,36,4,Southeast,"Charleston, SC",2,2016,10914.6834,30703.17,37681.09,-0.64450956,0,2,0,0,0,0,0,0,0,0,0,0,0
131707,678,Buy More Supercenter,TN,37821,123,12,Southeast,Knoxville,2,2018,7681.0395,25089.29,37448.1101,-0.693851859,0,3,4,0,0,1,0,0,1,0,2,3,0
130613,5113,Buy More Supercenter,AL,35125,10,14,Southeast,Birmingham,3,2017,34563.3398,16138.19,37139.55,1.141711047,1,0,0,0,0,0,0,0,0,0,0,0,0
129472,3265,Buy More Supercenter,VA,23693,288,27,Northeast,Norfolk-Portsmouth,2,2017,22201.4598,42116.4568,37041.72,-0.472855471,0,0,4,0,0,2,0,0,3,0,0,6,0
128427,2068,Buy More Supercenter,PA,19055,170,22,Northeast,Philadelphia,3,2017,21656.4,33166.5332,36986.87,-0.347040588,0,0,0,0,0,0,0,0,0,0,0,0,0
127563,1284,Buy More Supercenter,AL,36867,16,2,Southeast,"Columbus, GA",1,2017,6844.13,11170.7599,36860.44,-0.38731742,0,2,1,0,0,0,0,0,0,0,1,0,0
131663,6679,Member's Buy More,PA,15122,24,Northeast,Northeast,Pittsburgh,2,2018,32090.4697,26765.34,36834.35,0.198956176,0,0,2,1,0,1,0,0,5,0,0,2,2
129429,3219,Buy More Supercenter,VA,23188,288,27,Northeast,Norfolk-Portsmouth,2,2015,52180.57,48605.52,36554.3594,0.073552345,0,0,0,0,0,0,0,0,0,0,0,0,0
128659,2292,Buy More Supercenter,CA,91722,484,57,West,Los Angeles,3,2015,9721.79,15120.62,36534.7298,-0.357050835,0,0,0,0,0,0,0,0,0,0,0,0,0
